Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,08:00,14.8,14.8,2.96
2,08:15,13.609595034599327,14.8,2.96
3,08:30,12.36354591189665,14.8,2.96
4,08:45,11.20469976579561,14.8,2.96
5,09:00,10.075259513309662,14.8,2.96
6,09:15,10.49775,14.8,2.96
7,09:30,9.203045078542706,14.8,2.96
8,09:45,8.118109150463852,14.8,2.96
9,10:00,6.867599199456477,14.8,2.96
10,10:15,6.174896483709704,14.8,2.96
11,10:30,8.174896483709704,14.8,2.96
12,10:45,6.935150991367131,14.8,2.96
13,11:00,5.77518238849856,14.8,2.96
14,11:15,4.581185473793937,14.8,2.96
15,11:30,3.370821733308931,14.8,2.96
16,11:45,4.15735,14.8,2.96
17,12:00,2.992124872021373,14.8,2.96
18,12:15,2.992124872021373,14.8,2.96
19,12:30,2.992124872021373,14.8,2.96
20,12:45,4.800000000000001,14.8,2.96
21,13:00,6.371525000000002,14.8,2.96
22,13:15,6.371525000000002,14.8,2.96
23,13:30,8.371525000000002,14.8,2.96
24,13:45,8.371525000000002,14.8,2.96
25,14:00,10.371525000000002,14.8,2.96
26,14:15,9.154440974397046,14.8,2.96
27,14:30,8.070733742967766,14.8,2.96
28,14:45,7.236666904363823,14.8,2.96
29,15:00,5.9325420507424,14.8,2.96
30,15:15,7.135625,14.8,2.96
31,15:30,6.430295603764782,14.8,2.96
32,15:45,5.7330703733127,14.8,2.96
33,16:00,4.460343414248821,14.8,2.96
34,16:15,6.3794,14.8,2.96
35,16:30,6.3794,14.8,2.96
36,16:45,5.480058043515094,14.8,2.96
37,17:00,4.714609833543141,14.8,2.96
38,17:15,6.714609833543141,14.8,2.96
39,17:30,6.800000000000002,14.8,2.96
40,17:45,8.8,14.8,2.96
41,18:00,8.8,14.8,2.96
42,18:15,10.8,14.8,2.96
43,18:30,12.8,14.8,2.96
44,18:45,12.8,14.8,2.96
45,19:00,14.8,14.8,2.96
46,19:15,14.8,14.8,2.96
47,19:30,14.8,14.8,2.96
48,19:45,14.8,14.8,2.96
49,20:00,14.8,14.8,2.96
50,20:15,14.8,14.8,2.96
51,20:30,14.8,14.8,2.96
52,20:45,14.8,14.8,2.96
53,21:00,14.8,14.8,2.96
54,21:15,14.8,14.8,2.96
55,21:30,14.8,14.8,2.96
56,21:45,14.8,14.8,2.96
57,22:00,14.8,14.8,2.96
58,22:15,14.8,14.8,2.96
59,22:30,14.8,14.8,2.96
60,22:45,14.8,14.8,2.96
61,23:00,14.8,14.8,2.96
62,23:15,14.8,14.8,2.96
63,23:30,14.8,14.8,2.96
64,23:45,14.8,14.8,2.96
65,00:00,14.8,14.8,2.96
66,00:15,14.8,14.8,2.96
67,00:30,14.8,14.8,2.96
68,00:45,14.8,14.8,2.96
69,01:00,14.8,14.8,2.96
70,01:15,14.8,14.8,2.96
71,01:30,14.8,14.8,2.96
72,01:45,14.8,14.8,2.96
73,02:00,14.8,14.8,2.96
74,02:15,14.8,14.8,2.96
75,02:30,14.8,14.8,2.96
76,02:45,14.8,14.8,2.96
77,03:00,14.8,14.8,2.96
78,03:15,14.8,14.8,2.96
79,03:30,14.8,14.8,2.96
80,03:45,14.8,14.8,2.96
81,04:00,14.8,14.8,2.96
82,04:15,14.8,14.8,2.96
83,04:30,14.8,14.8,2.96
84,04:45,14.8,14.8,2.96
85,05:00,14.8,14.8,2.96
86,05:15,14.8,14.8,2.96
87,05:30,14.8,14.8,2.96
88,05:45,14.8,14.8,2.96
89,06:00,14.8,14.8,2.96
90,06:15,14.8,14.8,2.96
91,06:30,14.8,14.8,2.96
92,06:45,14.8,14.8,2.96
93,07:00,14.8,14.8,2.96
94,07:15,14.8,14.8,2.96
95,07:30,14.8,14.8,2.96
96,07:45,14.8,14.8,2.96
97,08:00,14.8,14.8,2.96
