time,CEV1_activity,CEV1_plug_in_charge,CEV2_activity,CEV2_plug_in_charge,MCS_charge_from_grid
08:00,Digging,No,Digging,No,No
08:15,Digging,No,Digging,No,No
08:30,Digging,No,Digging,No,No
08:45,Digging,No,Digging,No,No
09:00,Idle,Yes,Idle,Yes,No
09:15,Traveling,No,Traveling,No,No
09:30,Digging,No,Loading/Swinging,No,No
09:45,Digging,No,Digging,No,No
10:00,Idle,Yes,Loading/Swinging,No,No
10:15,Digging,No,Idle,Yes,No
10:30,Digging,No,Digging,No,No
10:45,Traveling,No,Traveling,No,No
11:00,Idle,No,Loading/Swinging,No,No
11:15,Digging,No,Loading/Swinging,No,No
11:30,Digging,No,Idle,Yes,No
11:45,Loading/Swinging,No,Idle,Yes,No
12:00,Idle,Yes,Idle,Yes,No
12:15,Idle,Yes,Idle,Yes,No
12:30,Idle,No,Idle,No,No
12:45,Idle,No,Idle,No,No
13:00,Idle,Yes,Idle,Yes,No
13:15,Idle,Yes,Idle,Yes,No
13:30,Idle,Yes,Idle,Yes,No
13:45,Idle,Yes,Idle,Yes,No
14:00,Loading/Swinging,No,Idle,Yes,No
14:15,Traveling,No,Idle,Yes,No
14:30,Loading/Swinging,No,Idle,Yes,No
14:45,Loading/Swinging,No,Idle,Yes,No
15:00,Idle,Yes,Idle,Yes,No
15:15,Idle,No,Idle,Yes,No
15:30,Loading/Swinging,No,Idle,Yes,No
15:45,Loading/Swinging,No,Idle,Yes,No
16:00,Idle,No,Idle,Yes,No
16:15,Idle,No,Idle,Yes,No
16:30,Idle,No,Idle,Yes,No
16:45,Idle,No,Idle,Yes,No
17:00,Idle,No,Idle,No,No
17:15,Idle,No,Idle,No,No
17:30,Idle,No,Idle,No,No
17:45,Idle,No,Idle,No,No
