Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type
1,D1 08:00,D1 08:15,0,Travel
2,D1 08:15,D1 08:30,0,Travel
3,D1 08:30,D1 08:45,2,Construction
4,D1 08:45,D1 09:00,2,Construction
5,D1 09:00,D1 09:15,0,Travel
6,D1 09:15,D1 09:30,0,Travel
7,D1 09:30,D1 09:45,3,Construction
8,D1 09:45,D1 10:00,3,Construction
9,D1 10:00,D1 10:15,0,Travel
10,D1 10:15,D1 10:30,0,Travel
11,D1 10:30,D1 10:45,2,Construction
12,D1 10:45,D1 11:00,0,Travel
13,D1 11:00,D1 11:15,0,Travel
14,D1 11:15,D1 11:30,1,Grid
15,D1 11:30,D1 11:45,1,Grid
16,D1 11:45,D1 12:00,1,Grid
17,D1 12:00,D1 12:15,1,Grid
18,D1 12:15,D1 12:30,1,Grid
19,D1 12:30,D1 12:45,1,Grid
20,D1 12:45,D1 13:00,1,Grid
21,D1 13:00,D1 13:15,1,Grid
22,D1 13:15,D1 13:30,1,Grid
23,D1 13:30,D1 13:45,1,Grid
24,D1 13:45,D1 14:00,1,Grid
25,D1 14:00,D1 14:15,1,Grid
26,D1 14:15,D1 14:30,1,Grid
27,D1 14:30,D1 14:45,1,Grid
28,D1 14:45,D1 15:00,1,Grid
29,D1 15:00,D1 15:15,1,Grid
30,D1 15:15,D1 15:30,1,Grid
31,D1 15:30,D1 15:45,1,Grid
32,D1 15:45,D1 16:00,1,Grid
33,D1 16:00,D1 16:15,1,Grid
34,D1 16:15,D1 16:30,1,Grid
35,D1 16:30,D1 16:45,1,Grid
36,D1 16:45,D1 17:00,1,Grid
37,D1 17:00,D1 17:15,1,Grid
38,D1 17:15,D1 17:30,1,Grid
39,D1 17:30,D1 17:45,1,Grid
40,D1 17:45,D1 18:00,1,Grid
41,D1 18:00,D1 18:15,1,Grid
42,D1 18:15,D1 18:30,1,Grid
43,D1 18:30,D1 18:45,1,Grid
44,D1 18:45,D1 19:00,1,Grid
45,D1 19:00,D1 19:15,1,Grid
46,D1 19:15,D1 19:30,1,Grid
47,D1 19:30,D1 19:45,1,Grid
48,D1 19:45,D1 20:00,1,Grid
49,D1 20:00,D1 20:15,1,Grid
50,D1 20:15,D1 20:30,1,Grid
51,D1 20:30,D1 20:45,1,Grid
52,D1 20:45,D1 21:00,1,Grid
53,D1 21:00,D1 21:15,1,Grid
54,D1 21:15,D1 21:30,1,Grid
55,D1 21:30,D1 21:45,1,Grid
56,D1 21:45,D1 22:00,1,Grid
57,D1 22:00,D1 22:15,1,Grid
58,D1 22:15,D1 22:30,1,Grid
59,D1 22:30,D1 22:45,1,Grid
60,D1 22:45,D1 23:00,1,Grid
61,D1 23:00,D1 23:15,1,Grid
62,D1 23:15,D1 23:30,1,Grid
63,D1 23:30,D1 23:45,1,Grid
64,D1 23:45,D1 00:00,1,Grid
65,D1 00:00,D1 00:15,1,Grid
66,D1 00:15,D1 00:30,1,Grid
67,D1 00:30,D1 00:45,1,Grid
68,D1 00:45,D1 01:00,1,Grid
69,D1 01:00,D1 01:15,1,Grid
70,D1 01:15,D1 01:30,1,Grid
71,D1 01:30,D1 01:45,1,Grid
72,D1 01:45,D1 02:00,1,Grid
73,D1 02:00,D1 02:15,1,Grid
74,D1 02:15,D1 02:30,1,Grid
75,D1 02:30,D1 02:45,1,Grid
76,D1 02:45,D1 03:00,1,Grid
77,D1 03:00,D1 03:15,1,Grid
78,D1 03:15,D1 03:30,1,Grid
79,D1 03:30,D1 03:45,1,Grid
80,D1 03:45,D1 04:00,1,Grid
81,D1 04:00,D1 04:15,1,Grid
82,D1 04:15,D1 04:30,1,Grid
83,D1 04:30,D1 04:45,1,Grid
84,D1 04:45,D1 05:00,1,Grid
85,D1 05:00,D1 05:15,1,Grid
86,D1 05:15,D1 05:30,1,Grid
87,D1 05:30,D1 05:45,1,Grid
88,D1 05:45,D1 06:00,1,Grid
89,D1 06:00,D1 06:15,1,Grid
90,D1 06:15,D1 06:30,1,Grid
91,D1 06:30,D1 06:45,1,Grid
92,D1 06:45,D1 07:00,1,Grid
93,D1 07:00,D1 07:15,1,Grid
94,D1 07:15,D1 07:30,1,Grid
95,D1 07:30,D1 07:45,1,Grid
96,D1 07:45,D2 08:00,1,Grid
97,D2 08:00,D2 08:15,0,Travel
98,D2 08:15,D2 08:30,0,Travel
99,D2 08:30,D2 08:45,0,Travel
100,D2 08:45,D2 09:00,3,Construction
101,D2 09:00,D2 09:15,0,Travel
102,D2 09:15,D2 09:30,0,Travel
103,D2 09:30,D2 09:45,2,Construction
104,D2 09:45,D2 10:00,2,Construction
105,D2 10:00,D2 10:15,0,Travel
106,D2 10:15,D2 10:30,0,Travel
107,D2 10:30,D2 10:45,1,Grid
108,D2 10:45,D2 11:00,1,Grid
109,D2 11:00,D2 11:15,1,Grid
110,D2 11:15,D2 11:30,1,Grid
111,D2 11:30,D2 11:45,1,Grid
112,D2 11:45,D2 12:00,1,Grid
113,D2 12:00,D2 12:15,1,Grid
114,D2 12:15,D2 12:30,1,Grid
115,D2 12:30,D2 12:45,1,Grid
116,D2 12:45,D2 13:00,1,Grid
117,D2 13:00,D2 13:15,1,Grid
118,D2 13:15,D2 13:30,1,Grid
119,D2 13:30,D2 13:45,1,Grid
120,D2 13:45,D2 14:00,1,Grid
121,D2 14:00,D2 14:15,1,Grid
122,D2 14:15,D2 14:30,1,Grid
123,D2 14:30,D2 14:45,1,Grid
124,D2 14:45,D2 15:00,1,Grid
125,D2 15:00,D2 15:15,1,Grid
126,D2 15:15,D2 15:30,1,Grid
127,D2 15:30,D2 15:45,1,Grid
128,D2 15:45,D2 16:00,1,Grid
129,D2 16:00,D2 16:15,1,Grid
130,D2 16:15,D2 16:30,1,Grid
131,D2 16:30,D2 16:45,1,Grid
132,D2 16:45,D2 17:00,1,Grid
133,D2 17:00,D2 17:15,1,Grid
134,D2 17:15,D2 17:30,1,Grid
135,D2 17:30,D2 17:45,1,Grid
136,D2 17:45,D2 18:00,1,Grid
137,D2 18:00,D2 18:15,1,Grid
138,D2 18:15,D2 18:30,1,Grid
139,D2 18:30,D2 18:45,1,Grid
140,D2 18:45,D2 19:00,1,Grid
141,D2 19:00,D2 19:15,1,Grid
142,D2 19:15,D2 19:30,1,Grid
143,D2 19:30,D2 19:45,1,Grid
144,D2 19:45,D2 20:00,1,Grid
145,D2 20:00,D2 20:15,1,Grid
146,D2 20:15,D2 20:30,1,Grid
147,D2 20:30,D2 20:45,1,Grid
148,D2 20:45,D2 21:00,1,Grid
149,D2 21:00,D2 21:15,1,Grid
150,D2 21:15,D2 21:30,1,Grid
151,D2 21:30,D2 21:45,1,Grid
