k,clock,price,MCS1_charge_kW,MCS1_soe_kWh,MCS1_charging
41,18:00,0.45,0.0,201.33848205411206,No
42,18:15,0.45,0.0,201.33848205411206,No
43,18:30,0.45,0.0,201.33848205411206,No
44,18:45,0.45,0.0,201.33848205411206,No
45,19:00,0.45,0.0,201.33848205411206,No
46,19:15,0.45,0.0,201.33848205411206,No
47,19:30,0.45,0.0,201.33848205411206,No
48,19:45,0.45,0.0,201.33848205411206,No
49,20:00,0.45,0.0,201.33848205411206,No
50,20:15,0.45,0.0,201.33848205411206,No
51,20:30,0.45,0.0,201.33848205411206,No
52,20:45,0.45,0.0,201.33848205411206,No
53,21:00,0.1,150.0,236.96348205411206,Yes
54,21:15,0.1,54.890601877422895,250.0,Yes
55,21:30,0.1,0.0,250.0,No
56,21:45,0.1,0.0,250.0,No
57,22:00,0.1,0.0,250.0,No
58,22:15,0.1,0.0,250.0,No
59,22:30,0.1,0.0,250.0,No
60,22:45,0.1,0.0,250.0,No
61,23:00,0.1,0.0,250.0,No
62,23:15,0.1,0.0,250.0,No
63,23:30,0.1,0.0,250.0,No
64,23:45,0.1,0.0,250.0,No
65,00:00,0.1,0.0,250.0,No
66,00:15,0.1,0.0,250.0,No
67,00:30,0.1,0.0,250.0,No
68,00:45,0.1,0.0,250.0,No
69,01:00,0.1,0.0,250.0,No
70,01:15,0.1,0.0,250.0,No
71,01:30,0.1,0.0,250.0,No
72,01:45,0.1,0.0,250.0,No
73,02:00,0.1,0.0,250.0,No
74,02:15,0.1,0.0,250.0,No
75,02:30,0.1,0.0,250.0,No
76,02:45,0.1,0.0,250.0,No
77,03:00,0.1,0.0,250.0,No
78,03:15,0.1,0.0,250.0,No
79,03:30,0.1,0.0,250.0,No
80,03:45,0.1,0.0,250.0,No
81,04:00,0.1,0.0,250.0,No
82,04:15,0.1,0.0,250.0,No
83,04:30,0.1,0.0,250.0,No
84,04:45,0.1,0.0,250.0,No
85,05:00,0.1,0.0,250.0,No
86,05:15,0.1,0.0,250.0,No
87,05:30,0.1,0.0,250.0,No
88,05:45,0.1,0.0,250.0,No
89,06:00,0.1,0.0,250.0,No
90,06:15,0.1,0.0,250.0,No
91,06:30,0.1,0.0,250.0,No
92,06:45,0.1,0.0,250.0,No
93,07:00,0.18,0.0,250.0,No
94,07:15,0.18,0.0,250.0,No
95,07:30,0.18,0.0,250.0,No
96,07:45,0.18,0.0,250.0,No
