Metric,approach0,shrinking,receding
Total_Cost_USD,193.41,697.33,193.85
Total_Energy_Cost_USD,10.08,9.85,10.14
Total_CO2_Cost_USD,0.43,0.42,0.43
NC_demand_charge_USD,57.91,56.58,58.28
OP_demand_charge_USD,0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,505.48,0.0
Travel_Labour_USD,125.0,125.0,125.0
Total_Grid_Energy_kWh,31.66,30.94,31.86
Total_CO2_Emissions_kg,8.6,8.41,8.66
NCD_Peak_kW,2.88,2.81,2.9
OPD_Peak_kW,0.0,0.0,0.0
Missed_Work_hour,0.0,0.25,0.0
MCS_Transit_hour,0.5,0.5,0.5
Infeasible_windows,0,0,0
Solve_time_s,6.89,46.87,127.16
